part.no,cond,mod,pres.score,spat.score
1,1,laptop,146,71.43
1,1,hmd,160,42.86
2,2,laptop,150,42.86
2,2,hmd,136,71.43
3,3,laptop,142,57.14
3,3,hmd,167,28.57
4,4,laptop,160,57.14
4,4,hmd,159,100
5,1,laptop,117,71.43
5,1,hmd,115,71.43
6,2,laptop,108,100
6,2,hmd,165,100
7,3,laptop,161,42.86
7,3,hmd,186,42.86
8,4,laptop,114,71.43
8,4,hmd,133,42.86
9,1,laptop,115,42.86
9,1,hmd,120,71.43
10,2,laptop,119,57.14
10,2,hmd,144,71.43
11,3,laptop,116,42.86
11,3,hmd,149,71.43
12,4,laptop,146,85.71
12,4,hmd,165,85.71
13,1,laptop,147,57.14
13,1,hmd,167,71.43
14,2,laptop,94,100
14,2,hmd,157,71.43
15,3,laptop,152,71.43
15,3,hmd,124,42.86
16,4,laptop,146,71.43
16,4,hmd,139,57.14
17,1,laptop,147,71.43
17,1,hmd,161,85.71
18,2,laptop,119,57.14
18,2,hmd,151,100
